exer_id,concept_count,concept_count_used,sensitivity,difficulty
16890,2,2,5.779582352261059e-06,0.0
6746,2,2,0.023490995168685913,1.0
2873,2,2,0.06311681717634202,0.4
6223,2,2,5.0054285907208396e-06,0.0
13034,2,2,0.10415677451861224,0.42857142857142855
9181,2,2,0.07453371336062749,1.0
6313,2,2,0.0020079162592689195,0.6666666666666666
3503,3,3,1.1205673217773438e-05,1.0
13382,2,2,0.0008595883846282959,0.6666666666666666
8336,2,2,0.2791535146534443,0.0
149,2,2,0.013123787939548492,0.75
166,2,2,0.05857948907714672,0.625
3925,3,3,0.011335134506225586,1.0
8986,2,2,0.007846961418787638,0.6666666666666666
6425,2,2,0.06057395040988922,0.75
9192,2,2,0.06583356717601418,1.0
10104,2,2,1.6452240060971235e-05,1.0
856,2,2,0.04568064905999398,0.7272727272727273
10507,2,2,0.3415970001369715,1.0
9434,2,2,6.258487701416016e-07,0.75
5073,2,2,0.09036558882022898,0.4166666666666667
609,2,2,0.026975232614426033,0.7619047619047619
12983,2,2,0.003378629684448242,1.0
1032,2,2,0.016848206520080566,1.0
1623,2,2,0.19611324528523255,0.375
9212,2,2,0.0005078514417012533,0.6666666666666666
9949,2,2,0.0001796931028366089,1.0
5961,2,2,4.827976226806641e-06,1.0
1087,2,2,0.04921341860400779,0.7142857142857143
2070,2,2,0.02513985033147037,0.75
5071,2,2,0.037852692624761,0.6666666666666666
4856,2,2,0.318262554705143,0.0
10616,2,2,0.015873819589614868,0.0
10103,2,2,7.301568984985352e-05,1.0
15093,2,2,0.0004125833511352539,1.0
2795,2,2,0.012213979032821953,0.0
1233,2,2,0.28654983825981617,1.0
9189,2,2,0.00035962462425231934,1.0
12926,2,2,4.76837158203125e-07,1.0
4241,3,3,0.00020456314086914062,1.0
4070,2,2,0.034826903603971004,0.75
9180,2,2,0.016047180429185657,0.45454545454545453
7023,2,2,0.024753487203270197,0.42857142857142855
52,2,2,0.0020061880350112915,1.0
14814,2,2,4.506111145019531e-05,1.0
8580,4,4,0.1134757399559021,0.6666666666666666
1246,2,2,0.00894549148090716,0.7142857142857143
3506,3,3,0.00031046072642008465,1.0
12279,2,2,0.002884546915690104,0.6666666666666666
6517,2,2,0.02972444564511534,0.25
14081,2,2,0.005054181121522561,0.0
11617,2,2,5.523744039237499e-05,0.0
1070,2,2,0.033490394800901414,0.8
523,3,3,8.662541707356771e-06,1.0
4997,2,2,0.00020904093980789185,0.5
1027,2,2,0.0012242386292200536,0.0
4412,2,2,0.13870974071323872,0.5
9026,2,2,0.009421497583389282,1.0
4481,2,2,0.018922296507904928,0.6666666666666666
10684,2,2,5.602836608886719e-06,0.4
11551,2,2,0.00037687023480733234,0.6666666666666666
6521,2,2,0.0009046731574926525,1.0
1888,2,2,0.0024862289428710938,0.0
16091,2,2,0.048710354603827,1.0
11820,2,2,0.0502555567239012,0.5714285714285714
10561,2,2,0.006029240787029266,1.0
10453,2,2,0.00574244000017643,0.5
14408,2,2,3.7403914575406816e-05,0.0
2940,2,2,0.07665449380874634,1.0
6260,2,2,0.022351711988449097,0.75
15076,2,2,0.035869245359208435,0.5
6977,2,2,0.0579659376692559,0.35714285714285715
11996,2,2,0.08988455310463905,1.0
13384,2,2,3.2335519790649414e-05,1.0
1315,2,2,0.018165801962216694,1.0
8541,3,3,0.07748566673059637,0.4
372,2,2,0.04944830263654391,0.6666666666666666
520,3,3,3.0597050984700522e-06,1.0
6982,2,2,0.011694679145875853,0.3
1082,2,2,0.011995072662830352,0.2
7060,2,2,0.025038927145317302,0.2
12070,2,2,0.08461335053046544,0.6666666666666666
5844,3,3,0.09172748525937398,0.5
2872,2,2,0.04138408611470368,0.5
3912,3,3,0.0010847807473813493,0.0
5670,2,2,0.11680245399475098,1.0
15468,2,2,0.0001831352710723877,0.0
7847,2,2,2.8520822525024414e-05,1.0
1217,2,2,0.00784029923046806,0.8571428571428571
13286,2,2,2.740323543548584e-05,1.0
11436,2,2,0.0008821785449981689,1.0
2590,3,3,3.893176714579264e-05,1.0
15501,2,2,0.0019184835255146027,0.0
51,2,2,0.07076099816582758,0.6363636363636364
6844,3,3,0.06011865070710579,0.25
10629,2,2,2.505381902058919e-05,1.0
4235,2,2,8.644908666610718e-05,0.75
6067,3,3,0.1008255452848971,0.8
601,2,2,0.01142654418162335,0.2857142857142857
13270,2,2,0.0016208663582801819,1.0
15090,2,2,0.00040081143379211426,1.0
5265,2,2,0.039157725511878586,0.7142857142857143
5942,2,2,0.0011217445135116577,0.5
5184,2,2,0.0031394416000694036,1.0
6794,2,2,0.06502281361190398,0.25
2302,2,2,0.05024163308553398,0.25
8576,3,3,0.05604598285364253,0.2857142857142857
3396,2,2,0.04694245173595846,0.5
1700,2,2,0.1277843900024891,0.6363636363636364
1575,2,2,0.00017262463643419323,0.0
9186,3,3,0.096828751390179,0.6
1100,2,2,0.016680181854301028,0.7777777777777778
10090,2,2,9.971857070922852e-05,1.0
5535,2,2,0.0008993297815322876,0.5
3920,3,3,0.011256316087383311,0.5
12336,2,2,0.027908937827305635,0.75
5199,2,2,0.006680213380604982,0.5
3792,2,2,0.0015106916427612305,0.6
4258,2,2,0.1564850697759539,0.0
3150,2,2,0.015040339407278225,0.5
14102,2,2,0.0011980831623077393,1.0
11119,2,2,0.00034815818071365356,1.0
15590,2,2,0.013758093118667603,1.0
3502,3,3,0.035708487033843994,1.0
9124,2,2,0.00039761047810316086,0.75
1019,2,2,0.059971000999212265,0.6666666666666666
2781,3,3,0.010375658671061197,1.0
8128,2,2,0.06661363877356052,1.0
14752,2,2,4.083681960764807e-05,0.0
5540,2,2,0.0007569938898086548,1.0
11541,2,2,0.0005654096603393555,1.0
12162,2,2,0.027575761079788208,0.0
1313,2,2,0.1242753267288208,1.0
6556,3,3,0.0007211586150030295,0.0
10711,2,2,0.0,1.0
10252,2,2,0.004872947931289673,0.0
569,2,2,0.05909021125574197,1.0
7846,2,2,0.0004871129058301449,0.0
10508,2,2,3.0100345611572266e-06,1.0
13284,2,2,0.04168707528151572,0.0
10582,2,2,4.649162292480469e-06,1.0
11949,2,2,0.10211697220802307,1.0
11353,3,3,0.0007905076684740683,0.75
7017,2,2,0.08190986498569448,0.3333333333333333
10537,2,2,0.0760471043176949,0.5
13781,2,2,1.1205673217773438e-05,0.0
2779,3,3,0.05479729041043255,0.5
12845,2,2,0.02472485601902008,1.0
2584,3,3,0.01159532837724934,1.0
12624,2,2,0.04862372080485026,0.6666666666666666
13417,2,2,0.00017648935317993164,1.0
12004,2,2,0.002552029734943062,1.0
13009,2,2,0.00013705094655354819,1.0
14911,2,2,0.03186047077178955,0.0
13418,2,2,0.00012893194070784375,0.0
12450,2,2,0.01637175679206848,1.0
12892,2,2,0.0750304902893486,0.875
4322,2,2,0.008083204738795757,0.0
13855,2,2,0.06882847694214433,0.5
7619,2,2,0.0034149145940318704,0.0
1,3,3,0.03647143542766571,0.6
11060,2,2,0.014650770463049412,0.5
12031,2,2,0.05599709303714917,0.42857142857142855
1002,3,3,0.0065169235070546465,0.5
8088,2,2,0.0014952400233596563,0.0
13805,2,2,0.217570960521698,1.0
3916,3,3,0.0011748162796720862,0.0
6325,3,3,0.024102542700984487,0.8
4471,2,2,0.0068323323503136635,0.6666666666666666
167,2,2,0.013604830967324233,0.7272727272727273
1024,2,2,0.09581072628498077,0.0
6259,2,2,0.04111264149347941,1.0
4134,2,2,0.005516786128282547,0.6666666666666666
12838,2,2,0.004474848508834839,1.0
13262,2,2,0.003139108419418335,1.0
11446,2,2,0.01836095890030265,0.5
14630,2,2,0.0005854714545421302,0.0
10172,2,2,1.055002212524414e-05,1.0
13147,2,2,0.001516613639296338,0.5
5777,2,2,0.035600955287615456,0.8333333333333334
8219,2,2,2.8342008590698242e-05,0.0
2806,2,2,0.10831926672835834,0.0
991,2,2,0.05672655790112913,0.6666666666666666
4321,2,2,0.00016999244689941406,1.0
11,4,4,0.14508688263595104,0.5
9048,2,2,0.049990873609203845,0.5
3915,3,3,0.23162428538004556,1.0
6637,2,2,0.024808955511876514,0.8571428571428571
8099,2,2,0.05819281340518501,0.25
13004,2,2,0.06558883562684059,0.6666666666666666
9432,2,2,0.01633182806628091,0.8571428571428571
1256,2,2,1.9282102584838867e-05,1.0
4476,4,4,0.0020982469723094255,0.0
10449,2,2,0.14645662531256676,0.0
357,2,2,0.06124971310297648,1.0
7421,2,2,0.005357325077056885,1.0
13511,2,2,0.00035531818866729736,1.0
9516,2,2,8.216500282287598e-05,1.0
3398,3,3,0.05055442452430725,0.0
6163,2,2,1.5656153361002605e-05,1.0
