lower,upper,cp,gap,assist_09_count,assist_09_auc_gain,assist_09_bacc_gain,assist_17_count,assist_17_auc_gain,assist_17_bacc_gain,junyi_count,junyi_auc_gain,junyi_bacc_gain,auc_wins,bacc_wins,auc_total_gain,bacc_total_gain,weighted_score
0.6,0.78,0.5,-0.25,71,0.04856670357732248,0.04744868387854443,27,0.016251696315861347,0.00498787477954149,158,0.017796114584470696,0.011951149211019932,3,3,0.08261451447765453,0.06438770786910586,0.1579241958193298
0.62,0.78,0.5,-0.25,64,0.044636590448655054,0.04285630845828278,26,0.020345264555428524,0.0021368919491016533,153,0.01656253706667704,0.013420379199942455,3,3,0.08154439207076061,0.05841357960732689,0.15295206502729258
0.62,0.78,0.5,-0.35,66,0.04725078911261809,0.04310689093235184,26,0.020345264555428524,0.0021368919491016533,157,0.018738794784042098,0.007302468248312773,3,3,0.0863348484520887,0.05254625112976627,0.15168962310460282
0.62,0.78,0.5,-0.3,66,0.04725078911261809,0.04310689093235184,26,0.020345264555428524,0.0021368919491016533,157,0.018738794784042098,0.007302468248312773,3,3,0.0863348484520887,0.05254625112976627,0.15168962310460282
0.6,0.78,0.5,-0.35,73,0.045657633898385064,0.051551048574133854,27,0.016251696315861347,0.00498787477954149,162,0.014322098312518197,0.008659553520824675,3,3,0.07623142852676461,0.06519847687450002,0.14913607866070086
0.6,0.78,0.5,-0.3,73,0.045657633898385064,0.051551048574133854,27,0.016251696315861347,0.00498787477954149,162,0.014322098312518197,0.008659553520824675,3,3,0.07623142852676461,0.06519847687450002,0.14913607866070086
0.58,0.8,0.6,-0.35,69,0.044974185599052474,0.028219908948133,19,0.013574453717846331,0.005954984078553896,101,0.025374189505977182,0.011136657547540993,3,3,0.083922828822876,0.04531155057422789,0.146483047544608
0.58,0.8,0.6,-0.3,69,0.044974185599052474,0.028219908948133,19,0.013574453717846331,0.005954984078553896,101,0.025374189505977182,0.011136657547540993,3,3,0.083922828822876,0.04531155057422789,0.146483047544608
0.58,0.8,0.6,-0.25,69,0.044974185599052474,0.028219908948133,19,0.013574453717846331,0.005954984078553896,101,0.025374189505977182,0.011136657547540993,3,3,0.083922828822876,0.04531155057422789,0.146483047544608
0.58,0.78,0.5,-0.25,79,0.0261070334958362,0.03204541728963274,27,0.016251696315861347,0.00498787477954149,167,0.017465649953712616,0.019118378657171517,3,3,0.05982437976541016,0.05615167072634575,0.13124689085595895
0.58,0.78,0.5,-0.35,81,0.0332907381853223,0.04263628450613514,27,0.016251696315861347,0.00498787477954149,171,0.012604045887810167,0.012093377912549233,3,3,0.06214648038899381,0.05971753719822586,0.13118088232624656
0.58,0.78,0.5,-0.3,81,0.0332907381853223,0.04263628450613514,27,0.016251696315861347,0.00498787477954149,171,0.012604045887810167,0.012093377912549233,3,3,0.06214648038899381,0.05971753719822586,0.13118088232624656
0.62,0.8,0.6,-0.35,59,0.03854958761427807,0.03299607389105909,19,0.013574453717846331,0.005954984078553896,93,0.014088068190046224,0.00467436545688233,3,3,0.06621210952217063,0.043625423426495315,0.11919544903148764
0.62,0.8,0.6,-0.3,59,0.03854958761427807,0.03299607389105909,19,0.013574453717846331,0.005954984078553896,93,0.014088068190046224,0.00467436545688233,3,3,0.06621210952217063,0.043625423426495315,0.11919544903148764
0.62,0.8,0.6,-0.25,59,0.03854958761427807,0.03299607389105909,19,0.013574453717846331,0.005954984078553896,93,0.014088068190046224,0.00467436545688233,3,3,0.06621210952217063,0.043625423426495315,0.11919544903148764
0.6,0.8,0.6,-0.35,64,0.03366784301773747,0.037787966066610584,19,0.013574453717846331,0.005954984078553896,96,0.011311304982454841,0.003768227151165697,3,3,0.05855360171803864,0.04751117729633018,0.11289470739714122
0.6,0.8,0.6,-0.3,64,0.03366784301773747,0.037787966066610584,19,0.013574453717846331,0.005954984078553896,96,0.011311304982454841,0.003768227151165697,3,3,0.05855360171803864,0.04751117729633018,0.11289470739714122
0.6,0.8,0.6,-0.25,64,0.03366784301773747,0.037787966066610584,19,0.013574453717846331,0.005954984078553896,96,0.011311304982454841,0.003768227151165697,3,3,0.05855360171803864,0.04751117729633018,0.11289470739714122
0.68,0.8,0.55,-0.35,48,0.03700492952762463,0.012063093727583837,27,0.009938513238139685,0.00498787477954149,115,0.013696031730770636,0.0016547823312767634,3,3,0.06063947449653495,0.01870575083840209,0.0900784104960391
0.68,0.8,0.55,-0.3,48,0.03700492952762463,0.012063093727583837,27,0.009938513238139685,0.00498787477954149,115,0.013696031730770636,0.0016547823312767634,3,3,0.06063947449653495,0.01870575083840209,0.0900784104960391
0.68,0.8,0.55,-0.25,48,0.03700492952762463,0.012063093727583837,27,0.009938513238139685,0.00498787477954149,115,0.013696031730770636,0.0016547823312767634,3,3,0.06063947449653495,0.01870575083840209,0.0900784104960391
0.65,0.82,0.6,-0.35,63,0.02890465011103742,0.01654172681186132,27,0.011379424563716295,0.00498787477954149,116,0.01391546046608208,0.0020538006593616848,3,3,0.054199535140835794,0.023583402250764496,0.08853036963190786
0.65,0.82,0.6,-0.3,63,0.02890465011103742,0.01654172681186132,27,0.011379424563716295,0.00498787477954149,116,0.01391546046608208,0.0020538006593616848,3,3,0.054199535140835794,0.023583402250764496,0.08853036963190786
0.65,0.82,0.6,-0.25,63,0.02890465011103742,0.01654172681186132,27,0.011379424563716295,0.00498787477954149,116,0.01391546046608208,0.0020538006593616848,3,3,0.054199535140835794,0.023583402250764496,0.08853036963190786
0.62,0.88,0.5,-0.25,117,0.03268769631281054,0.01881319689772211,69,1.622615933188909e-05,0.001193510375087907,339,0.004585157320129915,0.0016512191669713558,3,3,0.03728907979227234,0.021657926439781372,0.05805400450065205
0.68,0.78,0.5,-0.25,45,0.03944277121675839,0.028738002734956237,20,0.04192949026282361,-0.00542605542605544,115,0.02168787212203556,0.0016547823312767634,3,2,0.10306013360161756,0.02496672964017756,0.15333368926827773
0.65,0.78,0.5,-0.35,57,0.03777324019143466,0.035479792139503974,25,0.03534705547470535,-0.0032210998877665736,144,0.02012328511043112,0.003073876460387419,3,2,0.09324358077657113,0.03533256871212482,0.14918591666788755
0.65,0.78,0.5,-0.3,57,0.03777324019143466,0.035479792139503974,25,0.03534705547470535,-0.0032210998877665736,144,0.02012328511043112,0.003073876460387419,3,2,0.09324358077657113,0.03533256871212482,0.14918591666788755
0.65,0.78,0.5,-0.25,55,0.033443261344498904,0.0424588269996787,25,0.03534705547470535,-0.0032210998877665736,140,0.015230292902486856,0.008104296497153655,3,2,0.0840206097216911,0.04734202360906578,0.14913618144129467
0.6,0.82,0.6,-0.35,74,0.047798665777173885,0.03888400126802534,28,0.01811162588202437,-4.85722573273506e-17,126,0.01994067959507278,0.008700578022018735,3,2,0.08585097125427105,0.047584579290044025,0.1464250186336623
0.6,0.82,0.6,-0.3,74,0.047798665777173885,0.03888400126802534,28,0.01811162588202437,-4.85722573273506e-17,126,0.01994067959507278,0.008700578022018735,3,2,0.08585097125427105,0.047584579290044025,0.1464250186336623
0.6,0.82,0.6,-0.25,74,0.047798665777173885,0.03888400126802534,28,0.01811162588202437,-4.85722573273506e-17,126,0.01994067959507278,0.008700578022018735,3,2,0.08585097125427105,0.047584579290044025,0.1464250186336623
