lambda_contrastive,test_auc,error,D_exer,D_cpt,D_view_mean,model_path
0.0,0.7855082014992367,0.21449179850076328,1.0024582147598267,0.9849210977554321,0.9936896562576294,/home/zsh/xph_image/exp_m2_out/assist_09/model_lambda_0.0000.pth
0.05,0.7849307347102535,0.21506926528974646,0.9584305286407471,1.0047247409820557,0.9815776348114014,/home/zsh/xph_image/exp_m2_out/assist_09/model_lambda_0.0500.pth
0.1,0.784842039228426,0.215157960771574,0.9443078637123108,0.9960048794746399,0.9701563715934753,/home/zsh/xph_image/exp_m2_out/assist_09/model_lambda_0.1000.pth
0.2,0.7817911639009077,0.21820883609909225,0.9367322325706482,1.0016813278198242,0.9692067801952362,/home/zsh/xph_image/exp_m2_out/assist_09/model_lambda_0.2000.pth
0.4,0.7824801515573383,0.2175198484426617,0.9020742177963257,1.0009381771087646,0.9515061974525452,/home/zsh/xph_image/exp_m2_out/assist_09/model_lambda_0.4000.pth
0.8,0.782240527704226,0.21775947229577397,0.7460297346115112,1.0004935264587402,0.8732616305351257,/home/zsh/xph_image/exp_m2_out/assist_09/model_lambda_0.8000.pth
1.2,0.7828965782985953,0.21710342170140473,0.6320679783821106,0.9963588118553162,0.8142133951187134,/home/zsh/xph_image/exp_m2_out/assist_09/model_lambda_1.2000.pth
