mode,rho,auc,accuracy,rmse
missing,0.0,0.7773670233992234,0.7116985522233713,0.4370142590326396
missing,0.1,0.7773670213632335,0.7116985522233713,0.4370142590326396
missing,0.2,0.7773670169519223,0.7116985522233713,0.4370142590326396
missing,0.3,0.7773670244172183,0.7116985522233713,0.4370142590326396
missing,0.4,0.7773670189879122,0.7116985522233713,0.4370142590326396
false,0.0,0.7773670210239019,0.7116985522233713,0.4370142590326396
false,0.1,0.7642363840468528,0.7001034126163392,0.44330314246014096
false,0.2,0.7644445775755542,0.7009694932781799,0.44327525882753194
false,0.3,0.7621985594965079,0.6997026887280248,0.44432686597346105
false,0.4,0.7651495546475946,0.7026887280248191,0.4428777389280171
