lambda_contrastive,test_auc,error,D_exer,D_cpt,D_view_mean,model_path
0.0,0.7983307157291342,0.20166928427086583,0.9955161213874817,0.9863118529319763,0.990913987159729,/home/zsh/xph_image/exp_m2_out/assist_17/model_lambda_0.0000.pth
0.05,0.8004561044674503,0.1995438955325497,0.9949042797088623,1.0017153024673462,0.9983097910881042,/home/zsh/xph_image/exp_m2_out/assist_17/model_lambda_0.0500.pth
0.1,0.7992392150906478,0.20076078490935223,0.9857878684997559,1.0134830474853516,0.9996354579925537,/home/zsh/xph_image/exp_m2_out/assist_17/model_lambda_0.1000.pth
0.2,0.7998247711818949,0.20017522881810512,0.9773691892623901,0.9916661977767944,0.9845176935195923,/home/zsh/xph_image/exp_m2_out/assist_17/model_lambda_0.2000.pth
0.4,0.8001537626991471,0.19984623730085294,0.8695683479309082,1.00244140625,0.9360048770904541,/home/zsh/xph_image/exp_m2_out/assist_17/model_lambda_0.4000.pth
0.8,0.7989908888099829,0.20100911119001708,0.6814004778862,0.9904792904853821,0.835939884185791,/home/zsh/xph_image/exp_m2_out/assist_17/model_lambda_0.8000.pth
1.2,0.7984995308400874,0.2015004691599126,0.6393623948097229,0.9899173378944397,0.8146398663520813,/home/zsh/xph_image/exp_m2_out/assist_17/model_lambda_1.2000.pth
