lambda_contrastive,test_auc,error,D_exer,D_cpt,D_view_mean,model_path
0.0,0.8121111696552752,0.1878888303447248,1.000482201576233,0.9880427718162537,0.9942624866962433,/home/zsh/xph_image/saved_models/exp2_model/junyi/model_lambda_0.0000.pth
0.05,0.8123698436285353,0.18763015637146474,0.9977271556854248,0.9895992875099182,0.9936632215976715,/home/zsh/xph_image/saved_models/exp2_model/junyi/model_lambda_0.0500.pth
0.1,0.8134277129619036,0.18657228703809636,0.9942359924316406,1.0076707601547241,1.0009533762931824,/home/zsh/xph_image/saved_models/exp2_model/junyi/model_lambda_0.1000.pth
0.2,0.8114402806288317,0.18855971937116833,0.9938684105873108,1.0142028331756592,1.004035621881485,/home/zsh/xph_image/saved_models/exp2_model/junyi/model_lambda_0.2000.pth
0.4,0.8130622096593978,0.1869377903406022,0.9873709678649902,1.0142699480056763,1.0008204579353333,/home/zsh/xph_image/saved_models/exp2_model/junyi/model_lambda_0.4000.pth
0.8,0.8123226915174857,0.1876773084825143,0.9863473773002625,1.0032280683517456,0.994787722826004,/home/zsh/xph_image/saved_models/exp2_model/junyi/model_lambda_0.8000.pth
1.2,0.8123912472395591,0.18760875276044087,0.9741001725196838,0.9929525852203369,0.9835263788700104,/home/zsh/xph_image/saved_models/exp2_model/junyi/model_lambda_1.2000.pth
