dataset,auc_drop_gain,acc_drop_gain,p75_decoupling_gain,p90_decoupling_gain
assist_09,0.04633521221087267,0.044817192115324894,0.3714096421996752,0.40345733761787406
assist_17,0.03709195243064637,0.004987874779541469,0.20312359597947863,0.25459739234712386
junyi,0.01913332465703911,0.010096283819609739,0.3055349091688791,0.31929576330714754
