dataset,prism_full_auc_delta,baseline_full_auc_delta,prism_stress_auc_delta,baseline_stress_auc_delta,auc_drop_better_model,prism_full_acc_delta,baseline_full_acc_delta,prism_stress_acc_delta,baseline_stress_acc_delta,acc_drop_better_model,prism_flipped_confidence,baseline_flipped_confidence,prism_win_metrics,baseline_win_metrics,tie_metrics,supports_prism_expected,confidence_better_model,prism_flipped_decoupling_gap_p90,baseline_flipped_decoupling_gap_p90,tail_decoupling_better_model,prism_flipped_decoupling_gap_p75,baseline_flipped_decoupling_gap_p75,knowledge_adjustment_better_model
assist_09,2.4316935501916207e-05,-0.00044826233881341114,-0.018269155856848865,-0.06460436806772153,Prism-CD,7.966972277769448e-05,-0.00032090886658406667,0.00949524819438142,-0.05431244030970631,Prism-CD,0.688034913670621,0.9008045196533203,4,0,0,True,NeuralCD,0.13151306907335916,-0.2719442685445149,Prism-CD,0.06094843314753634,-0.31046120905213886,Prism-CD
assist_17,-6.661970995334227e-05,-0.00011408724205224325,-0.044407953338265214,-0.08149990576891158,Prism-CD,-6.74507568313351e-05,-6.819113389326002e-05,-0.05486662257495584,-0.059854497354497306,Prism-CD,0.6906148556757857,0.8573387315427815,4,0,0,True,NeuralCD,0.001208135154512179,-0.2533892571926117,Prism-CD,-0.05914224021964596,-0.2622658361991246,Prism-CD
junyi,-0.00033222379478345555,-0.0010898374150589334,-0.05438144516046267,-0.07351476981750178,Prism-CD,-0.0008075534262637555,-0.0011311918033171666,-0.04566139421379902,-0.05575767803340876,Prism-CD,0.7126359746044065,0.8468678289725456,4,0,0,True,NeuralCD,0.07988864514562817,-0.23940711816151936,Prism-CD,0.0034124602874120113,-0.3021224488814671,Prism-CD
