i,j,same_concept,MI,NMI
0,5,0,0.04126855082570045,0.016654016510797308
0,45,0,0.09680588272533922,0.037326165132662695
0,70,0,0.05438159208502989,0.021030984793424492
0,88,0,0.07561865160340969,0.02999104683339531
0,99,0,0.04699700909301615,0.019190725606625783
0,115,0,0.050845453468324045,0.021539376674809645
0,118,0,0.053298939543276656,0.021360181148630177
1,33,0,0.05854280251179711,0.023341045338006794
1,37,0,0.05341451887215331,0.020952294796608782
1,66,0,0.050005466905030244,0.020353334950530568
1,110,0,0.04293284899774486,0.01728316516116328
1,111,0,0.051478552398392996,0.020565421782272494
1,112,0,0.0504088163301456,0.02031195476634717
1,114,0,0.06087653229976458,0.023804982541868153
2,35,0,0.046370540102382986,0.018759096081744458
2,36,0,0.08215583890389815,0.0331048566831266
2,41,0,0.0610669290980623,0.024361735887924067
2,66,0,0.053292817185179406,0.02194816575130134
2,81,0,0.05236272464170077,0.022173018446875907
2,83,0,0.07268130355532501,0.029938239397845966
2,93,0,0.07190675805123765,0.02898534520796688
2,94,0,0.06503065452268346,0.026497361002298683
2,104,0,0.04784983700223224,0.019564849215054775
3,15,0,0.062195983559354295,0.025000914901264788
3,61,0,0.05107231012528557,0.020768160029934677
3,74,0,0.052858442655225504,0.021382920356481924
3,84,0,0.04834760898583736,0.019753331985503966
3,87,0,0.07950455545793259,0.03170654184681401
3,106,0,0.05191811862761103,0.020990761493173856
4,17,0,0.048588211348995804,0.020181117125576818
4,24,0,0.04316436604750883,0.01813096310608598
4,28,0,0.04335150030020541,0.01833370991759034
4,29,0,0.0454942259338205,0.018606320858996547
4,54,0,0.04434170620171567,0.018131207921635934
4,111,0,0.05780078861782959,0.02368693305737426
4,113,0,0.0471190582138688,0.019133249386780644
5,13,0,0.04462870906070563,0.018531073496628362
5,14,0,0.041090796431313206,0.01718069571777988
5,24,0,0.03585887353003729,0.015344976295790654
5,61,0,0.04558987774197253,0.01889024188676584
5,65,0,0.03786913563980455,0.016108471426409053
5,96,0,0.03782556834948159,0.015539216835330234
5,108,0,0.0434000401461448,0.018210426663257062
6,8,0,0.048025649925670794,0.019109193228094096
6,11,0,0.10611188452631813,0.04208866296275987
6,13,0,0.05413054673685515,0.021748365102772588
6,19,0,0.07376030963081744,0.03007921056748049
6,23,0,0.07663907597360967,0.03114630828968623
6,34,0,0.05135137390310792,0.020367558635027427
6,62,0,0.05431743571080281,0.02175443363160619
6,87,0,0.07456039526270214,0.029317003922827996
6,101,0,0.05805666483064608,0.02335524184351707
6,102,0,0.06950880564543357,0.027718264382907868
7,10,0,0.04662842504098135,0.019088857397887807
7,17,0,0.051114392254682776,0.020801019449242182
7,30,0,0.05321229823431342,0.021222335289419896
7,101,0,0.04841191695120066,0.01935707233862021
7,109,0,0.04386838884646595,0.01806700598237217
8,35,0,0.04763007681169933,0.01915424886797797
8,75,0,0.04993530333008414,0.020023895702426284
8,91,0,0.05820795817768719,0.023229390379958064
8,102,0,0.04951160743098972,0.01963916368302025
8,108,0,0.05923331990182118,0.023921244444534123
8,119,0,0.06945034471876753,0.02767750568789905
9,11,0,0.05605267756553736,0.022620898272881346
9,34,0,0.05952947884397724,0.02402322836101112
9,48,0,0.05319631008308749,0.021804829786821037
9,57,0,0.05292196904414368,0.021396763048329
9,94,0,0.04519334620982958,0.018723874057459042
9,122,0,0.04123161341079237,0.017026386417356123
10,71,0,0.053852186109049634,0.02221520560391418
10,77,0,0.04872964732817738,0.020371300029512738
10,85,0,0.04938717053052011,0.020322167578814627
10,88,0,0.0437598153845314,0.01830688849288437
10,90,0,0.07341594482909629,0.030281314480032354
10,95,0,0.04446364992345431,0.018404759704602907
10,104,0,0.0901255784040541,0.03791955007739727
10,115,0,0.042305943884791156,0.018904219629129696
10,118,0,0.04828199282197107,0.020410230505417192
11,13,0,0.048161903541123825,0.019187111658154815
11,24,1,0.05049104098910053,0.020730205604371284
11,31,0,0.06131348168236909,0.02477196259093717
11,37,0,0.049201010988310194,0.019351019603538182
11,38,0,0.051961176166371116,0.02027034562558899
11,45,0,0.052443758193629925,0.020540396002331283
11,55,0,0.07779066371601713,0.03094464349746795
11,68,0,0.05818504106869472,0.023094316215073726
11,70,0,0.06307131889162304,0.024776672845067092
11,76,0,0.06532738006395368,0.026291653976003436
11,78,0,0.05744028266095973,0.022107235386417918
11,79,0,0.039674298386869034,0.016260043514865402
11,92,0,0.06721422089632403,0.026581044852018558
11,102,0,0.04882584073221611,0.0193062397308429
11,109,0,0.04604780390067336,0.018919518372904755
12,83,0,0.0431408361442252,0.01804991259266476
12,84,0,0.05276874490048885,0.021605051633275942
12,87,0,0.08186410358772017,0.03271625288206654
12,109,0,0.04708040409828082,0.019827969401299904
12,117,0,0.05821444178187813,0.023412545371621796
13,15,0,0.05092487355832708,0.02027136055602145
13,38,1,0.052739647627797925,0.02084022982721903
13,39,0,0.06372368495461214,0.026073170237249543
13,67,0,0.04614412267085478,0.018522264373566518
13,80,0,0.052356951686191026,0.0209999865485924
13,81,0,0.045619556080092286,0.01939022406285623
13,103,0,0.06614687027103877,0.026507445232124845
14,15,0,0.05145129759627553,0.02062334962224604
14,30,0,0.042579019697027945,0.017279711849600032
14,34,0,0.05942095393622403,0.023836435846363184
14,42,1,0.045472859510161556,0.018732746405539
14,46,0,0.04877631044658108,0.01973792444589382
14,52,0,0.04424550205431867,0.017990981421420388
14,56,0,0.054417374836011,0.021786572746296733
14,63,0,0.044410671531532865,0.01808166069953791
14,82,0,0.061058773035785725,0.02485907178324027
14,94,0,0.06676810411044926,0.027497465530210135
14,96,0,0.04553119319931521,0.01830481881142771
14,103,0,0.05649751623843062,0.022798058371957888
14,119,0,0.056499074801537895,0.022893854205830306
15,53,0,0.04824679766606505,0.018987121931755873
