dim,leakage,max_corr,mean_corr,top1_concept,top1_corr,top2_concept,top2_corr,top3_concept,top3_corr,top4_concept,top4_corr,top5_concept,top5_corr,top6_concept,top6_corr,top7_concept,top7_corr,top8_concept,top8_corr
24,3,0.26145609872500886,0.0915055998939162,21,0.26145609872500886,34,0.22199561998272319,26,0.20985751985199816,0,0.14044575760678135,30,0.1345627410433148,3,0.13418179734615504,13,0.11871968863218288,28,0.11740472285345391
23,5,0.2616299763458301,0.10233157529554644,30,0.2616299763458301,0,0.21858867975114096,6,0.21644116853931408,33,0.17686646445435353,13,0.15755820092817815,36,0.1269477229548707,28,0.12028138648980137,3,0.11926117736283205
19,5,0.22443746658574695,0.08782974061538419,26,0.22443746658574695,28,0.18186431641027526,31,0.17958670948464112,30,0.166413824735077,3,0.15952185859729093,21,0.14097721771450666,17,0.13701450286713862,34,0.11262047570582054
4,5,0.22384905660702067,0.09583912438620266,2,0.22384905660702067,15,0.18300185521957457,0,0.15652817324102364,36,0.15334634942209888,14,0.1507644139000868,18,0.14975918615362754,29,0.14729491618175253,1,0.13866562420757994
28,6,0.19943291389750642,0.10169033742683377,2,0.19943291389750642,31,0.18116154264563597,27,0.1656384741553341,21,0.16349161936622872,28,0.1516170349377901,22,0.1507111066719098,17,0.1473379502633767,13,0.14620821184275673
