,acc_0,acc_1,acc_2,acc_3,acc_4,acc_5,acc_6,acc_7,acc_8,acc_9,acc_10,acc_11,acc_12,acc_13,acc_14,acc_15,acc_16,acc_17,acc_18,acc_19,acc_20,acc_21,acc_22,acc_23,acc_24,acc_25,acc_26,acc_27,acc_28,acc_29,acc_30,acc_31,acc_32,acc_33,acc_34,acc_35,acc_36,acc_37,acc_38
z_20,0.2877030546519827,0.4371096823845181,0.46611997536973515,0.45070508579278945,0.41400499268726854,0.0,0.4132604318437808,0.44227143489336834,0.40961620360829754,0.41033215395319894,0.0,0.0,0.0,0.48961018670501144,0.43199614551012855,0.4823397698559241,0.0,0.5031631106578002,0.48422631056939397,0.0,0.0,0.5547307983094764,0.402827084269872,0.46417215581783583,0.524332231557639,0.0,0.5689135345882586,0.5402154314987027,0.46797808313737127,0.333667086284942,0.5585284884339516,0.5077395195539955,0.0,0.45608047059105744,0.4422056729993403,0.0,0.2952946213929588,0.0,0.0
z_21,0.0588074618873379,0.3436966396541789,0.4344812420891759,0.334848770064334,0.32710319995531567,0.0,0.05830260593665656,0.2744505138884185,0.19382008300095466,0.3081662131241305,0.0,0.0,0.0,0.3431318888458961,0.29522959633032075,0.36093941675923363,0.0,0.461259531096566,0.3688623245502951,0.0,0.0,0.5218419155015802,0.494756807388644,0.5055667911057565,0.4346241632965981,0.0,0.4608890677469173,0.4463453959068297,0.4807933130099723,0.2343278903713849,0.4298732030489374,0.510626066743981,0.0,0.27736657868476894,0.338007638630484,0.0,0.19028022793671956,0.0,0.0
z_22,0.011586694936049295,0.18674223374625312,0.20014590786400893,0.09861197303121837,0.16418765225482657,0.0,0.20713219105985656,0.1424383158419223,0.06819820943336255,0.1600495081208168,0.0,0.0,0.0,0.08823568962755589,0.10309914456013951,0.19667510121266754,0.0,0.19883888021959442,0.039002727381351604,0.0,0.0,0.2497974378280973,0.18062724099937208,0.20211939487501504,0.22036095810336406,0.0,0.05877051678322278,0.18439328298374374,0.1571621885012545,0.10572751105962656,0.013430155977751676,0.17271733159787897,0.0,0.1727289851760787,0.030082666204242086,0.0,0.12311775585292888,0.0,0.0
z_23,0.2185886761821914,0.0726807264217445,0.06867606899460661,0.11926117736283205,0.09281424723178047,0.0,0.21644121254577675,0.10530568806608992,0.09446545142249545,0.08469500669636162,0.0,0.0,0.0,0.15755820092817815,0.043827682243848046,0.11699535468574125,0.0,0.1043263528998373,0.07242941038691263,0.0,0.0,0.026889727946392834,0.04918076755527315,0.08648117268684347,0.044863259337467334,0.0,0.0344307271034702,0.03210899634165464,0.12028138648980137,0.09182295282277651,0.2616299763458301,0.04507793567732232,0.0,0.1768665851598582,0.09830538130061692,0.0,0.1269477229548707,0.0,0.0
z_24,0.140445786829476,0.020372027234144174,0.07560695935944743,0.13418179734615504,0.015702115375029056,0.0,0.03743089082178296,0.057044471778918714,0.06327926234221731,0.03138630512369106,0.0,0.0,0.0,0.11871968863218288,0.027153655033959508,0.01722754113437422,0.0,0.10854180292416062,0.11583122396720487,0.0,0.0,0.26145609872500886,0.1058886062492668,0.11146477603014676,0.042113497092451976,0.0,0.20985751985199816,0.08203623628505133,0.11740472285345391,0.03177264237639093,0.1345627410433148,0.11416431379775524,0.0,0.005794941565185357,0.22199561998272319,0.0,0.06921450089918105,0.0,0.0
z_25,0.03826279998716974,0.24336376353813272,0.39124611956085226,0.38393449490660375,0.2538956133832862,0.0,0.08897513950048572,0.27751381068355085,0.23237000921657225,0.26320419032685566,0.0,0.0,0.0,0.36133507473474147,0.20483240584084647,0.24302752350002813,0.0,0.4154519575287677,0.35980982091577474,0.0,0.0,0.537721645865779,0.4113757135566724,0.4353109614545828,0.41097670879492065,0.0,0.5279897734622401,0.4272151886060686,0.5379988337715892,0.11225774898971944,0.4054740004613882,0.3909454007329945,0.0,0.3003263203785502,0.4579057806436562,0.0,0.15084780523713523,0.0,0.0
z_26,0.09755182064529003,0.24873966692408103,0.40845946874978956,0.2728452028533859,0.22257772031057688,0.0,0.03161627571489376,0.1387838984376628,0.07091649960021111,0.20729135982074087,0.0,0.0,0.0,0.3205913856994076,0.14421050732145216,0.3124870283387792,0.0,0.2539401528276161,0.23779820986639336,0.0,0.0,0.4731319833628461,0.37181105853614943,0.3748483439901509,0.35158987059786506,0.0,0.35073376118881233,0.33742885443854165,0.3399764734985473,0.1754807520009508,0.28073190163357004,0.3105160649630085,0.0,0.29443585597163835,0.29852535864613616,0.0,0.17314131322712772,0.0,0.0
z_27,0.03101779117081615,0.17155180091492792,0.31478852554995385,0.2475935019234552,0.20164759569470647,0.0,0.000433086821469501,0.1452909405595571,0.09884189175045036,0.20266490843419435,0.0,0.0,0.0,0.23670153688240816,0.1510627323877588,0.21348922758301073,0.0,0.37772345112691375,0.22800950829608133,0.0,0.0,0.5312403132102381,0.37018058687665795,0.40367284633837003,0.26241172025121684,0.0,0.38594997801018227,0.36072179778062774,0.3458661507099449,0.11162220951753497,0.41600340138298764,0.3916543529148015,0.0,0.2107349504921871,0.29674660861552477,0.0,0.14791883137237172,0.0,0.0
z_28,0.007081298848024575,0.14037457657604,0.19943293293903006,0.08946310486600434,0.09514179022087593,0.0,0.018038087237301388,0.024429350930750077,0.029812863693184574,0.06676793313029644,0.0,0.0,0.0,0.14620821184275673,0.11596259903841534,0.10833324835516536,0.0,0.1473379502633767,0.024079227848767756,0.0,0.0,0.16349161936622872,0.1507111066719098,0.04142779724251941,0.12825774531057177,0.0,0.12711397931012422,0.1656384741553341,0.1516170349377901,0.09206230394232212,0.13388457623819489,0.18116154264563597,0.0,0.06629174639248142,0.0136113045820702,0.0,0.11790894980268916,0.0,0.0
z_29,0.1446632090140038,0.3567405347207452,0.4243518820649353,0.27323629671363314,0.2895610072407842,0.0,0.29227985667284306,0.22425485013496954,0.33413341776054784,0.25486730142405906,0.0,0.0,0.0,0.4332322846027749,0.30537009973404244,0.3816709302881475,0.0,0.39883383391601823,0.44155048321030554,0.0,0.0,0.5024773414371523,0.4167152645384365,0.36645802162400326,0.4175895116409297,0.0,0.467045943760593,0.5315555144991243,0.4888414161524385,0.23449199403842338,0.35932933291969155,0.4939464209460426,0.0,0.3117753782627924,0.3489735021071622,0.0,0.2435831279470692,0.0,0.0
z_30,0.3151001374659943,0.26092307506348356,0.2255048757659139,0.10369065391785286,0.26274129432584586,0.0,0.378649130042689,0.26453234096980976,0.22247188965182793,0.1922762969772367,0.0,0.0,0.0,0.07384357293557128,0.15389938840138165,0.2775678193735247,0.0,0.15102218234097992,0.27035868268097907,0.0,0.0,0.15417606792444213,0.11215605092484117,0.13429251735529465,0.2059119207937489,0.0,0.05390230944946892,0.15631008223768036,0.3022240561042889,0.20886278298887337,0.05651769963605036,0.11236157344339104,0.0,0.18583879446926516,0.04478468046545027,0.0,0.18114379418869056,0.0,0.0
z_31,0.3490160965169189,0.3994486927737021,0.3957618110924135,0.17042917280126918,0.32456771024197384,0.0,0.3638915138393174,0.36495936748192137,0.38933340815567,0.258506438269228,0.0,0.0,0.0,0.2173501438312696,0.33442438378739503,0.42356665579041136,0.0,0.1487262411296915,0.42830739486772773,0.0,0.0,0.14115655797080193,0.2506019111145264,0.23052973352685305,0.3221353669405077,0.0,0.07093848445825503,0.32614501004092544,0.29321254142310194,0.3030550745951074,0.09289724722699703,0.2103866199345421,0.0,0.3238431460826218,0.23304775295341942,0.0,0.3275135968941865,0.0,0.0
z_32,0.1763740696694736,0.06368689907165843,0.08614426460566886,0.04174933668740585,0.054452090410866606,0.0,0.03369193640246354,0.12670005256928452,0.02375771102556786,0.0006226121012528604,0.0,0.0,0.0,0.010620477060508877,0.1255711739158602,0.04965627223950049,0.0,0.03187734093894454,0.08641572820062343,0.0,0.0,0.3475121680377802,0.2210336489699557,0.30325265026892556,0.015123265322606274,0.0,0.225910009464317,0.16929276510359417,0.26153736242352693,0.06038917800966142,0.20013736847773425,0.13519499072166075,0.0,0.07590836855437322,0.11191480534875756,0.0,0.0023519335618068142,0.0,0.0
z_33,0.1998764122790111,0.3244628542706663,0.3409360983051476,0.46244163513490466,0.3133460880783593,0.0,0.31886513816970224,0.32606209670330977,0.3632477252597124,0.2871311102341204,0.0,0.0,0.0,0.4389385104844045,0.2804150046887244,0.34889173055437583,0.0,0.45685073564942613,0.40148300015536703,0.0,0.0,0.6167714669066666,0.36570172223326075,0.438220517142505,0.46433472388210545,0.0,0.4754727554477163,0.546626805894052,0.46388195173938734,0.2136063385393824,0.4984664287136652,0.44834585137638305,0.0,0.3429375421300025,0.4173805095286327,0.0,0.19614053644968832,0.0,0.0
z_34,0.37212869915429436,0.25012745806928016,0.14726573051342512,0.24719325724286778,0.22886305465076603,0.0,0.21259025866765144,0.316430947877615,0.16902611409845159,0.22922182881199127,0.0,0.0,0.0,0.32898956848781946,0.27280612465703163,0.27723491098178377,0.0,0.28772703611806466,0.0948437374418973,0.0,0.0,0.06636841567562256,0.08450582557101524,0.0986447689220528,0.2678362689929184,0.0,0.11264509017395603,0.13463975596709715,0.1892421923892594,0.2364382483555556,0.3378178546526908,0.24972168250206042,0.0,0.25627009927526995,0.21440860584396082,0.0,0.24786336899532121,0.0,0.0
z_35,0.0022768918828305336,0.3665242309077428,0.47369523294588045,0.4515518172994169,0.33072759628567033,0.0,0.07993803498843324,0.34746721972750017,0.20667931162527337,0.3150610951137499,0.0,0.0,0.0,0.4230253625217831,0.35708653534956225,0.40802350493711237,0.0,0.5098224836135248,0.34689139326985,0.0,0.0,0.6395619114848808,0.49678655663711124,0.5502522028417302,0.4939831503639899,0.0,0.5562268572698141,0.5779702962985974,0.5666753383445975,0.2442002092407844,0.5333548069085586,0.5948350021003548,0.0,0.3145216304856481,0.4678246568550585,0.0,0.2634944097317659,0.0,0.0
z_36,0.29067094786758174,0.3239725771600819,0.29884215096542605,0.1241811220192982,0.3044768233119359,0.0,0.25639284290717623,0.2707648847142847,0.26175457426967164,0.26845388359012856,0.0,0.0,0.0,0.24797800219079152,0.3075401107908501,0.34907622509275327,0.0,0.20782856451227572,0.31365543585721617,0.0,0.0,0.0815408434278977,0.14339667964922287,0.07616477720006291,0.35282741067869056,0.0,0.1020009430773634,0.2060221541523555,0.20075588848077944,0.25108043357919807,0.05159094847036681,0.13921164706027567,0.0,0.2846871555543778,0.09056651404704348,0.0,0.24953735405208669,0.0,0.0
z_37,0.09786832180897197,0.253561724143711,0.18973032777333296,0.20501762903487142,0.2000090417613493,0.0,0.15308051510183462,0.32132354588662887,0.21916784974837536,0.2348855027434009,0.0,0.0,0.0,0.30075245843468806,0.28569182991255154,0.20501145002633153,0.0,0.30630628471199256,0.2851121918724036,0.0,0.0,0.13188591463135968,0.13203252005760815,0.11170801523093303,0.28024383268554676,0.0,0.3402077001733491,0.30265422938311753,0.1517897448601468,0.1840232690759452,0.3474634317681189,0.26538877711972547,0.0,0.20066915708138852,0.2389340592196466,0.0,0.1200891638911988,0.0,0.0
z_38,0.11451417466271724,0.06962686069021115,0.04255734973948345,0.1948331661370695,0.0011352068013230712,0.0,0.21510130392313137,0.03153425255942431,0.18290118677016032,0.06742821686257319,0.0,0.0,0.0,0.04024834698702319,0.03741497662658759,0.07792139686480092,0.0,0.18312667159836477,0.13759275499595833,0.0,0.0,0.3405481150181921,0.08824420438565153,0.26552210988854624,0.017133996438779327,0.0,0.18915190961753783,0.1626690222211653,0.08164608723892926,0.07060780493975777,0.3203164436293317,0.01697104538459442,0.0,0.026064128914955124,0.14817290991089488,0.0,0.010290838502964202,0.0,0.0
