lower,upper,cp,gap,assist_09_count,assist_09_auc_gain,assist_09_bacc_gain,assist_17_count,assist_17_auc_gain,assist_17_bacc_gain,junyi_count,junyi_auc_gain,junyi_bacc_gain,auc_wins,bacc_wins,auc_total_gain,bacc_total_gain,weighted_score
0.59,0.76,0.52,-0.2,58,0.03560952118567984,0.0701150009205395,19,0.04670973885559684,0.005954984078553896,110,0.02919121295498707,0.019527316118225203,3,3,0.11151047299626375,0.0955973011173186,0.22622723433704606
0.6,0.76,0.52,-0.25,56,0.04421396637749308,0.07707702638415848,21,0.040353489758759055,-0.0024824272167267777,109,0.02689563915206336,0.020732393566562472,3,2,0.1114630952883155,0.09532699273399417,0.22585548656910848
0.6,0.76,0.52,-0.3,56,0.04421396637749308,0.07707702638415848,21,0.040353489758759055,-0.0024824272167267777,109,0.02689563915206336,0.020732393566562472,3,2,0.1114630952883155,0.09532699273399417,0.22585548656910848
0.6,0.76,0.52,-0.275,56,0.04421396637749308,0.07707702638415848,21,0.040353489758759055,-0.0024824272167267777,109,0.02689563915206336,0.020732393566562472,3,2,0.1114630952883155,0.09532699273399417,0.22585548656910848
0.61,0.76,0.48,-0.2,56,0.04249923376568982,0.07180465563367124,20,0.05326938879022208,-0.00542605542605544,120,0.021842252611928424,0.01691825407103177,3,2,0.11761087516784033,0.08329685427864757,0.2175671003022174
0.61,0.77,0.48,-0.2,59,0.05117856085927078,0.06001662499718383,23,0.049207411908262576,-0.0011881757533931461,131,0.02428504122338935,0.017580051348985132,3,2,0.1246710139909227,0.07640850059277582,0.21636121470225367
0.6,0.77,0.5,-0.2,61,0.045608626420687894,0.06212921504242777,23,0.052268014256042036,-0.0011881757533931461,129,0.023759221289608196,0.016778808218439113,3,2,0.12163586196633813,0.07771984750747374,0.2148996789753066
0.61,0.76,0.5,-0.2,55,0.038320150055180205,0.054031304877364836,19,0.044903920110472,0.005954984078553896,116,0.025234736477730328,0.028147604111832612,3,3,0.10845880664338253,0.08813389306775135,0.21421947832468413
0.59,0.78,0.5,-0.2,68,0.054194270477853565,0.060597905871871485,24,0.05109341172728172,-0.0032996064002737274,142,0.026556260678950394,0.011127559518944743,3,2,0.13184394288408569,0.0684258589905425,0.2139549736727367
0.6,0.76,0.52,-0.225,56,0.04421396637749308,0.07707702638415848,21,0.040353489758759055,-0.0024824272167267777,108,0.01579081616538547,0.017378476825061086,3,2,0.1003582723016376,0.09197307599249277,0.21072596349262893
0.59,0.76,0.52,-0.275,59,0.04995198266473694,0.06578633910434727,21,0.040353489758759055,-0.0024824272167267777,115,0.015762808882579082,0.0233095091229946,3,2,0.10606828130607507,0.08661342101061509,0.21000438651881317
0.59,0.76,0.52,-0.25,59,0.04995198266473694,0.06578633910434727,21,0.040353489758759055,-0.0024824272167267777,115,0.015762808882579082,0.0233095091229946,3,2,0.10606828130607507,0.08661342101061509,0.21000438651881317
0.59,0.76,0.52,-0.3,59,0.04995198266473694,0.06578633910434727,21,0.040353489758759055,-0.0024824272167267777,115,0.015762808882579082,0.0233095091229946,3,2,0.10606828130607507,0.08661342101061509,0.21000438651881317
0.6,0.76,0.48,-0.2,60,0.042983387069035234,0.06412689676578569,21,0.046642036649108876,-0.0024824272167267777,122,0.02291725303448696,0.019040338608777053,3,2,0.11254267675263108,0.08068480815783596,0.20936444654203423
