dataset,prism_full_auc_delta,baseline_full_auc_delta,prism_stress_auc_delta,baseline_stress_auc_delta,auc_drop_better_model,prism_full_acc_delta,baseline_full_acc_delta,prism_stress_acc_delta,baseline_stress_acc_delta,acc_drop_better_model,prism_flipped_confidence,baseline_flipped_confidence,prism_win_metrics,baseline_win_metrics,tie_metrics,supports_prism_expected,confidence_better_model,prism_flipped_decoupling_gap_p90,baseline_flipped_decoupling_gap_p90,tail_decoupling_better_model,prism_flipped_decoupling_gap_p75,baseline_flipped_decoupling_gap_p75,knowledge_adjustment_better_model
assist_09,-0.0067908488576115325,-0.007940318815100723,-0.0724392886753442,-0.07458475778647007,Prism-CD,-0.004040673149504834,-0.004040673149504834,-0.09996861268047706,-0.09996861268047702,tie,0.9890070057339982,0.9442478914480749,3,0,1,True,Prism-CD,-0.13727988534503507,-0.3143531953295072,Prism-CD,-0.20577328569359246,-0.3681989957888921,Prism-CD
assist_17,-0.0005472131728553445,-0.0005627667192691111,-0.08312029919099999,-0.08004621500101566,NeuralCD,-0.00031885556704579996,-0.00031885556704579996,-0.0994623655913978,-0.09946236559139783,tie,0.9221251604548685,0.9035961247367544,2,1,1,True,Prism-CD,-0.15506724516550693,-0.262822640604443,Prism-CD,-0.19570159580972457,-0.3129160636001163,Prism-CD
junyi,-0.006272172843768578,-0.006392572794333566,-0.06896331213183053,-0.07016448467473725,Prism-CD,-0.0032720082703521333,-0.0032720082703521333,-0.100061387354205,-0.10006138735420501,tie,0.926782524792146,0.9304814888958424,3,0,1,True,NeuralCD,-0.13188727829191413,-0.3341660996278127,Prism-CD,-0.20133013857735524,-0.365607543124093,Prism-CD
