dataset,adjustment_ratio_median_gain,adjustment_ratio_p90_gain,decoupling_gap_median_gain
assist_09,1.5267433144369063,1.9006782448587485,0.19945934414863575
assist_17,0.7017408768922236,0.9779328722466252,0.1629232168197631
junyi,6.014632224591251,6.905843805772171,0.38486433029174794
