dim,leakage,max_corr,mean_corr,top1_concept,top1_corr,top2_concept,top2_corr,top3_concept,top3_corr,top4_concept,top4_corr,top5_concept,top5_corr,top6_concept,top6_corr,top7_concept,top7_corr,top8_concept,top8_corr
4,1,0.21960277242335433,0.05972810427371141,47,0.21960277242335433,51,0.13865761197969875,33,0.12999860469634122,42,0.12044415347960881,13,0.1090165054886147,98,0.10741027952720564,5,0.10562325938164609,32,0.10406553362714813
82,1,0.21953430601357815,0.07646343322190971,0,0.21953430601357815,49,0.1489408200215276,48,0.14713481900306669,11,0.14123861875289842,32,0.13801936285320893,33,0.13201661405015638,9,0.12753460552321058,7,0.12717137513956558
62,1,0.21393265033926137,0.06339333276838686,46,0.21393265033926137,20,0.1309746160724627,55,0.12868109165018823,47,0.1260611362877675,6,0.12603263853885005,37,0.12565121417382152,53,0.12437618909699344,106,0.11480065509377009
76,1,0.20302248173152943,0.04518621543291479,97,0.20302248173152943,58,0.1428432044991861,34,0.11711174249918803,45,0.11328997233314109,41,0.10049539322165672,49,0.09699402732211124,8,0.07938154201333794,96,0.07714055905371812
41,1,0.19507383159058986,0.055565044109000705,51,0.19507383159058986,96,0.14780374463530022,46,0.14241836319064288,45,0.13489275680128512,37,0.1308985574933668,11,0.10796178654152401,20,0.10155395012562256,31,0.08333724781042269
