lambda_contrastive,test_auc,test_acc,D_view_mean,D_exercise,D_concept,pred_entropy,model_path
0.0,0.7876856654680356,0.7413271422862471,0.9936852157115936,1.0030176639556885,0.9843527674674988,0.21355094412784767,/home/zsh/xph_image/exp_m2_out/model_lambda_0.0000.pth
0.05,0.7861156786676402,0.7419360977373499,0.9802534580230713,0.9567664861679077,1.0037404298782349,0.21495818580859494,/home/zsh/xph_image/exp_m2_out/model_lambda_0.0500.pth
0.1,0.7847748302534541,0.7396334849378675,0.9705939888954163,0.9444066286087036,0.9967813491821289,0.23665859980620568,/home/zsh/xph_image/exp_m2_out/model_lambda_0.1000.pth
0.2,0.7813356381940602,0.7383394546042741,0.9685898125171661,0.9374889135360718,0.9996907114982605,0.2427882953282509,/home/zsh/xph_image/exp_m2_out/model_lambda_0.2000.pth
0.4,0.7850421927422351,0.7412700527127062,0.9447264969348907,0.8888680338859558,1.0005849599838257,0.21870001317968207,/home/zsh/xph_image/exp_m2_out/model_lambda_0.4000.pth
0.8,0.7817703460278513,0.7339816171573198,0.8885916471481323,0.7785053849220276,0.9986779093742371,0.2516669206531816,/home/zsh/xph_image/exp_m2_out/model_lambda_0.8000.pth
1.2,0.7839606082920316,0.736931245123599,0.8099421858787537,0.6216637492179871,0.9982206225395203,0.23832536275478744,/home/zsh/xph_image/exp_m2_out/model_lambda_1.2000.pth
