mode,rho,auc,accuracy,rmse
missing,0.0,0.7890393081496887,0.742868560771851,0.458244457803438
missing,0.1,0.7881541610594204,0.7416125901539515,0.459030084160137
missing,0.2,0.7881289148972148,0.7418219185902681,0.45906923199541705
missing,0.3,0.7883337955714254,0.741917067879503,0.45890175907793723
missing,0.4,0.7880946454010528,0.7416696797274924,0.4588884293937743
false,0.0,0.7890393065385228,0.742868560771851,0.458244457803438
false,0.1,0.7816478466767726,0.733410721421911,0.46775915008578456
false,0.2,0.7817709123526235,0.7345144531770348,0.46752708175572666
false,0.3,0.7821137619861591,0.7339245275837789,0.46708352772348233
false,0.4,0.7828807477892139,0.7355991550743116,0.46602306312067265
